SF;Art;Beschreibung;KZ_Bereich;KZ_Bereich_JG;AbgangsJG;Flag;geaendert
"BK";"0G";"Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler)";38;8;"**";"1";
"SB";"0G";"Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler)";38;8;"**";"1";
"BK";"0H";"Fachhochschulreife (schulischer Teil)";19;12;"**";"1";
"SB";"0H";"Fachhochschulreife (schulischer Teil)";19;12;"**";"1";
"BK";"0H";"Fachhochschulreife (schulischer Teil)";27;8;"**";"1";
"SB";"0H";"Fachhochschulreife (schulischer Teil)";27;8;"**";"1";
"BK";"0H";"Fachhochschulreife (schulischer Teil)";28;8;"**";"1";
"SB";"0H";"Fachhochschulreife (schulischer Teil)";28;8;"**";"1";
"BK";"0K";"Allgemeine Hochschulreife";27;12;"**";"1";
"SB";"0K";"Allgemeine Hochschulreife";27;12;"**";"1";
"BK";"0K";"Allgemeine Hochschulreife";28;3;"**";"1";
"SB";"0K";"Allgemeine Hochschulreife";28;3;"**";"1";
"BK";"1A";"Abschlusszeugnis (berufliche Kenntnisse, Fähigkeiten und Fertigkeiten)";5;1;"**";"1";
"SB";"1A";"Abschlusszeugnis (berufliche Kenntnisse, Fähigkeiten und Fertigkeiten)";5;1;"**";"1";
"BK";"1A";"Abschlusszeugnis (berufliche Kenntnisse, Fähigkeiten und Fertigkeiten)";6;1;"**";"1";
"SB";"1A";"Abschlusszeugnis (berufliche Kenntnisse, Fähigkeiten und Fertigkeiten)";6;1;"**";"1";
"BK";"1A";"Abschlusszeugnis";33;1;"**";"1";
"BK";"1A";"Abschlusszeugnis";34;2;"**";"1";
"BK";"1B";"Abschlusszeugnis (berufliche Kenntnisse, Fähigkeiten und Fertigkeiten) und ein dem Hauptschulabschluss gleichwertiger Abschluss";5;1;"**";"1";
"SB";"1B";"Abschlusszeugnis (berufliche Kenntnisse, Fähigkeiten und Fertigkeiten) und ein dem Hauptschulabschluss gleichwertiger Abschluss";5;1;"**";"1";
"BK";"1B";"Abschlusszeugnis (berufliche Kenntnisse, Fähigkeiten und Fertigkeiten) und ein dem Hauptschulabschluss gleichwertiger Abschluss";6;1;"**";"1";
"SB";"1B";"Abschlusszeugnis (berufliche Kenntnisse, Fähigkeiten und Fertigkeiten) und ein dem Hauptschulabschluss gleichwertiger Abschluss";6;1;"**";"1";
"BK";"1G";"Versetzungszeugnis der Klasse 11 FO und Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler)";22;1;"**";"1";
"SB";"1G";"Versetzungszeugnis der Klasse 11 FO und Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler)";22;1;"**";"1";
"BK";"1P";"Versetzungszeugnis der Klasse 11 FO";22;1;"**";"1";
"SB";"1P";"Versetzungszeugnis der Klasse 11 FO";22;1;"**";"1";
"BK";"1S";"Abschlusszeugnis und ein dem Hauptschulabschluss gleichwertiger Abschluss, ggfs. Berechtigung zum Besuch eines weiterführenden Bildungsgangs im Berufskolleg (nur für Internationale  Förderklassen)";5;1;"**";"1";
"SB";"1S";"Abschlusszeugnis und ein dem Hauptschulabschluss gleichwertiger Abschluss, ggfs. Berechtigung zum Besuch eines weiterführenden Bildungsgangs im Berufskolleg  (nur für Internationale  Förderklassen)";5;1;"**";"1";
"BK";"3A";"Berufsschulabschluss (für Schülerinnen und Schüler, die während der Berufsausbildung über ihre Eingangsqualifikation hinaus keinen höherwertigen allgemeinbildenden Abschluss erwerben)";1;9;"**";"1";
"SB";"3A";"Berufsschulabschluss (für Schülerinnen und Schüler, die während der Berufsausbildung über ihre Eingangsqualifikation hinaus keinen höherwertigen allgemeinbildenden Abschluss erwerben)";1;9;"**";"1";
"BK";"3B";"Berufsschulabschluss und Hauptschulabschluss nach Klasse 9 oder ein dem Hauptschulabschluss gleichwertiger Abschluss";1;9;"**";"1";
"SB";"3B";"Berufsschulabschluss und Hauptschulabschluss nach Klasse 9 oder ein dem Hauptschulabschluss gleichwertiger Abschluss";1;9;"**";"1";
"BK";"3D";"Berufsschulabschluss und Hauptschulabschluss nach Klasse 10 oder ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss";1;9;"**";"1";
"SB";"3D";"Berufsschulabschluss und Hauptschulabschluss nach Klasse 10 oder ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss";1;9;"**";"1";
"BK";"3F";"Berufsschulabschluss und Mittlerer Schulabschluss (Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe)";1;9;"**";"1";
"SB";"3F";"Berufsschulabschluss und Mittlerer Schulabschluss (Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe)";1;9;"**";"1";
"BK";"3G";"Berufsschulabschluss und Mittlerer Schulabschluss (Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe)";1;9;"**";"1";
"SB";"3G";"Berufsschulabschluss und Mittlerer Schulabschluss (Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe)";1;9;"**";"1";
"BK";"3J";"Berufsschulabschluss und Fachhochschulreife";2;12;"**";"1";
"SB";"3J";"Berufsschulabschluss und Fachhochschulreife";2;12;"**";"1";
"BK";"4A";"Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten";15;1;"**";"1";
"SB";"4A";"Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten";15;1;"**";"1";
"BK";"4D";"berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss";14;1;"**";"1";
"SB";"4D";"Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss";14;1;"**";"1";
"BK";"4D";"Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss (für G8 Schüler)";21;7;"**";"1";
"SB";"4D";"Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss (für G8 Schüler)";21;7;"**";"1";
"BK";"4D";"berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und ein dem Hauptschul-abschluss nach Klasse 10 gleichwertiger Schulabschluss (für G8 Schüler)";38;2;"**";"1";
"SB";"4D";"berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und ein dem Hauptschul-abschluss nach Klasse 10 gleichwertiger Schulabschluss (für G8 Schüler)";38;2;"**";"1";
"BK";"4F";"Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Mittlerer Schulabschluss (Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe)";15;1;"**";"1";
"SB";"4F";"Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Mittlerer Schulabschluss (Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe)";15;1;"**";"1";
"BK";"4G";"Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Mittlerer Schulabschluss (Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe)";15;1;"**";"1";
"SB";"4G";"Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Mittlerer Schulabschluss (Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe)";15;1;"**";"1";
"BK";"4G";"Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler)";21;7;"**";"1";
"SB";"4G";"Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler)";21;7;"**";"1";
"BK";"4G";"berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler)";38;2;"**";"1";
"SB";"4G";"berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler)";38;2;"**";"1";
"BK";"4H";"Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Fachhochschulreife (schulischer Teil)";21;2;"**";"1";
"SB";"4H";"Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Fachhochschulreife (schulischer Teil)";21;2;"**";"1";
"BK";"4H";"Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Fachhochschulreife (schulischer Teil)";27;12;"**";"1";
"SB";"4H";"Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Fachhochschulreife (schulischer Teil)";27;12;"**";"1";
"BK";"4H";"Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Fachhochschulreife (schulischer Teil)";28;3;"**";"1";
"SB";"4H";"Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Fachhochschulreife (schulischer Teil)";28;3;"**";"1";
"BK";"4H";"berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Fachhochschulreife (schulischer Teil)";38;2;"**";"1";
"BK";"4H";"berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Fachhochschulreife (schulischer Teil)";38;3;"**";"1";
"SB";"4H";"berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Fachhochschulreife (schulischer Teil)";38;2;"**";"1";
"SB";"4H";"berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Fachhochschulreife (schulischer Teil)";38;3;"**";"1";
"BK";"4J";"Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Fachhochschulreife";23;1;"**";"1";
"SB";"4J";"Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Fachhochschulreife";23;1;"**";"1";
"BK";"4K";"Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Allgemeine Hochschulreife";27;12;"**";"1";
"SB";"4K";"Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Allgemeine Hochschulreife";27;12;"**";"1";
"BK";"4K";"Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Allgemeine Hochschulreife";28;3;"**";"1";
"SB";"4K";"Berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Allgemeine Hochschulreife";28;3;"**";"1";
"BK";"5A";"Berufsabschluss (für Schüler, die bereits die Qualifikation des Hauptschulabschlusses der Klasse 10 oder einen höheren Abschluss erreicht hatten)";7;13;"**";"1";
"SB";"5A";"Berufsabschluss (für Schüler, die bereits die Qualifikation des Hauptschulabschlusses der Klasse 10 oder einen höheren Abschluss erreicht hatten)";7;13;"**";"1";
"BK";"5A";"Berufsabschluss (für Schüler, die bereits die Qualifikation des Hauptschulabschlusses der Klasse 10 oder einen höheren Abschluss erreicht hatten)";8;13;"**";"1";
"BK";"5A";"Berufsabschluss (für Schüler, die bereits die Qualifikation des Hauptschulabschlusses der Klasse 10 oder einen höheren Abschluss erreicht hatten)";9;13;"**";"1";
"SB";"5A";"Berufsabschluss (für Schüler, die bereits die Qualifikation des Hauptschulabschlusses der Klasse 10 oder einen höheren Abschluss erreicht hatten)";9;13;"**";"1";
"BK";"5A";"Berufsabschluss (für Schüler, die bereits die Qualifikation des Hauptschulabschlusses der Klasse 10 oder einen höheren Abschluss erreicht hatten)";12;4;"**";"1";
"SB";"5A";"Berufsabschluss (für Schüler, die bereits die Qualifikation des Hauptschulabschlusses der Klasse 10 oder einen höheren Abschluss erreicht hatten)";12;4;"**";"1";
"BK";"5A";"Berufsabschluss (für Schüler, die bereits die Qualifikation des Hauptschulabschlusses der Klasse 10 oder einen höheren Abschluss erreicht hatten)";13;4;"**";"1";
"BK";"5A";"Berufsabschluss (für Schüler, die bereits die Qualifikation des Hauptschulabschlusses der Klasse 10 oder einen höheren Abschluss erreicht hatten)";16;2;"**";"1";
"SB";"5A";"Berufsabschluss (für Schüler, die bereits die Qualifikation des Hauptschulabschlusses nach Klasse 10 oder einen höheren Abschluss erreicht hatten)";16;2;"**";"1";
"BK";"5A";"Berufsabschluss (für Schüler, die bereits die Qualifikation des Hauptschulabschlusses der Klasse 10 oder einen höheren Abschluss erreicht hatten)";17;3;"**";"1";
"SB";"5A";"Berufsabschluss (für Schüler, die bereits die Qualifikation des Hauptschulabschlusses der Klasse 10 oder einen höheren Abschluss erreicht hatten)";17;3;"**";"1";
"BK";"5A";"Berufsabschluss (für Schüler, die bereits die Qualifikation des Hauptschulabschlusses der Klasse 10 oder einen höheren Abschluss erreicht hatten)";18;4;"**";"1";
"SB";"5A";"Berufsabschluss (für Schüler, die bereits die Qualifikation des Hauptschulabschlusses der Klasse 10 oder einen höheren Abschluss erreicht hatten)";18;4;"**";"1";
"BK";"5A";"Berufsabschluss";19;12;"**";"1";
"SB";"5A";"Berufsabschluss";19;12;"**";"1";
"BK";"5A";"Berufsabschluss";20;2;"**";"1";
"SB";"5A";"Berufsabschluss";20;2;"**";"1";
"BK";"5D";"Berufsabschluss und Hauptschulabschluss nach Klasse 10";7;13;"**";"1";
"SB";"5D";"Berufsabschluss und Hauptschulabschluss nach Klasse 10";7;13;"**";"1";
"BK";"5D";"Berufsabschluss und Hauptschulabschluss nach Klasse 10";8;13;"**";"1";
"BK";"5D";"Berufsabschluss und Hauptschulabschluss nach Klasse 10";9;13;"**";"1";
"SB";"5D";"Berufsabschluss und Hauptschulabschluss nach Klasse 10";9;13;"**";"1";
"BK";"5D";"Berufsabschluss und Hauptschulabschluss nach Klasse 10";12;4;"**";"1";
"SB";"5D";"Berufsabschluss und Hauptschulabschluss nach Klasse 10";12;4;"**";"1";
"BK";"5D";"Berufsabschluss und Hauptschulabschluss nach Klasse 10";13;4;"**";"1";
"BK";"5D";"Berufsabschluss und ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss";16;2;"**";"1";
"SB";"5D";"Berufsabschluss und ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss";16;2;"**";"1";
"BK";"5D";"Berufsabschluss und ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss";17;3;"**";"1";
"SB";"5D";"Berufsabschluss und ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss";17;3;"**";"1";
"BK";"5D";"Berufsabschluss und ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss";18;4;"**";"1";
"SB";"5D";"Berufsabschluss und ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss";18;4;"**";"1";
"BK";"5F";"Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife ohne Qualifikationsvermerk)";7;13;"**";"1";
"SB";"5F";"Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife ohne Qualifikationsvermerk)";7;13;"**";"1";
"BK";"5F";"Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife ohne Qualifikationsvermerk)";8;13;"**";"1";
"BK";"5F";"Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife ohne Qualifikationsvermerk)";9;13;"**";"1";
"SB";"5F";"Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife ohne Qualifikationsvermerk)";9;13;"**";"1";
"BK";"5F";"Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife ohne Qualifikationsvermerk)";12;4;"**";"1";
"SB";"5F";"Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife ohne Qualifikationsvermerk)";12;4;"**";"1";
"BK";"5F";"Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife ohne Qualifikationsvermerk)";13;4;"**";"1";
"BK";"5F";"Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe)";16;2;"**";"1";
"SB";"5F";"Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe)";16;2;"**";"1";
"BK";"5F";"Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe)";17;3;"**";"1";
"SB";"5F";"Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe)";17;3;"**";"1";
"BK";"5F";"Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe)";18;4;"**";"1";
"SB";"5F";"Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe)";18;4;"**";"1";
"BK";"5G";"Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife mit Qualifikationsvermerk)";7;13;"**";"1";
"SB";"5G";"Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife mit Qualifikationsvermerk)";7;13;"**";"1";
"BK";"5G";"Berufsabschluss und Mittlerer Schulabschluss (Fachoberschulreife mit Qualifikationsvermerk)";8;13;"**";"1";
